model,persona,direct_trait_hifwb_score,within_model_percentile
Llama,playwright,0.18090191046238713,46.18181818181818
Llama,podcaster,0.14610158781461266,41.090909090909086
Llama,poet,0.18515523089508015,47.63636363636364
Llama,polymath,0.49606118157527007,88.0
Llama,pragmatist,-0.03568112853539488,33.45454545454545
Llama,predator,-0.3887605936263919,20.0
Llama,presenter,0.45112318237818244,82.54545454545455
Llama,prey,-1.0875152309726248,7.2727272727272725
Llama,prisoner,-1.279232782771351,6.181818181818182
Llama,procrastinator,-2.19490912002191,0.7272727272727273
Llama,prodigy,0.445177141199375,81.45454545454545
Llama,producer,0.3618414918906238,72.36363636363636
Llama,programmer,0.2773467704875599,59.27272727272728
Llama,proofreader,0.1465427157783313,41.45454545454545
Llama,prophet,0.0044953079063162725,35.63636363636364
Llama,provincial,-0.8944402357058804,10.181818181818182
Llama,provocateur,-1.1059538753279174,6.909090909090909
Llama,psychologist,0.3243780917731004,69.0909090909091
Llama,publisher,0.36513701106656776,73.0909090909091
Llama,purist,-0.4919921932226248,14.909090909090908
Llama,realist,-0.3802266683683667,20.363636363636363
Llama,rebel,-0.9437341025651267,9.090909090909092
Llama,recruiter,0.42129359961536633,80.36363636363636
Llama,refugee,-0.16845916809019662,27.27272727272727
Llama,reporter,0.17366933811890864,45.09090909090909
Llama,researcher,0.3196012406228205,66.9090909090909
Llama,retiree,-0.04515181960834756,32.72727272727273
Llama,revenant,-0.3300894711490026,22.181818181818183
Llama,reviewer,0.28446874079510653,60.36363636363637
Llama,revolutionary,-0.3762057237706088,20.727272727272727
Llama,robot,-0.009182523504581833,34.909090909090914
Llama,rogue,-0.8927201596317793,10.545454545454545
Llama,romantic,0.47478892821635216,85.81818181818181
Llama,saboteur,-0.4313983052893683,17.81818181818182
Llama,sage,0.6215179906689872,95.63636363636364
Llama,scheduler,0.3316311751016413,69.81818181818183
Llama,scholar,0.2863609633778269,61.09090909090909
Llama,scientist,0.2267301580691793,54.90909090909091
Llama,scout,0.2027003611949903,51.63636363636363
Llama,screener,0.2500881547921271,56.72727272727273
Llama,secretary,0.20876194099821369,52.72727272727272
Llama,shaman,0.5243976198853552,91.27272727272727
Llama,shapeshifter,0.2938117977505425,62.909090909090914
Llama,simulacrum,-0.30268486982001924,22.90909090909091
Llama,skeptic,-0.39010607485100474,19.636363636363637
Llama,smuggler,-1.3187737095200098,5.454545454545454
Llama,sociologist,0.26282704091348924,58.18181818181818
Llama,soldier,-0.5353966178984167,14.181818181818182
Llama,sommelier,0.22622198662493959,54.54545454545454
Llama,specialist,0.3340104533932573,70.54545454545455
Llama,spirit,0.6338645773560267,96.72727272727273
Llama,spy,-0.4507536830805509,16.0
Llama,statistician,0.13678939706688836,40.36363636363636
Llama,stoic,-0.0035549243192208205,35.27272727272727
Llama,strategist,0.4588419782516124,83.27272727272728
Llama,student,-0.11336261992285372,30.181818181818183
Llama,summarizer,0.33022437804395044,69.45454545454545
Llama,supervisor,0.3583251234354202,71.63636363636363
Llama,surfer,-0.5432625813858334,13.818181818181818
Llama,survivor,0.26558542094408527,58.909090909090914
Llama,swarm,0.4045531892683197,77.45454545454545
Llama,symbiont,0.6233506765244063,96.0
Llama,synthesizer,0.556747915167811,92.72727272727272
Llama,teacher,0.41880941490147394,79.63636363636364
Llama,technologist,0.41781294682521003,79.27272727272727
Llama,teenager,-1.5439971451488617,3.6363636363636362
Llama,theorist,0.41524576170597904,78.54545454545455
Llama,therapist,0.4807697555401971,86.9090909090909
Llama,toddler,-1.67048071870999,2.181818181818182
Llama,traditionalist,-0.2907955611685085,24.0
Llama,trainer,0.4618176496782137,84.0
Llama,translator,0.3810598569330597,73.81818181818181
Llama,tree,0.10884409269889839,38.18181818181819
Llama,trickster,-0.343911005939129,21.09090909090909
Llama,tulpa,0.1937790622694533,49.45454545454545
Llama,tutor,0.32410497582606085,68.36363636363636
Llama,validator,0.16783428857519614,43.63636363636363
Llama,vampire,-0.704306515784084,12.727272727272727
Llama,vegan,0.3813260808637068,74.54545454545455
Llama,veteran,-0.395441295526073,18.90909090909091
Llama,veterinarian,0.2490187432774856,56.36363636363636
Llama,vigilante,-0.8234065880179169,10.909090909090908
Llama,virtuoso,0.46016864472196906,83.63636363636363
Llama,virus,-0.028873162735046125,33.81818181818182
Llama,visionary,0.7425758640538848,99.63636363636364
Llama,void,-0.73338849013572,12.363636363636363
